,date,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
186,2020-06-09 00:00:00,162.11,165.91,161.88,165.07,IEX,501518,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:53,-0.1810971913517882,-0.1810971913517882,165.07,162.11,165.91,161.88,501518,163.7272,160.7913,164.5604,160.5632,501518,"Jun 9, 20",1.9300000000000068,0.012
185,2020-06-10 00:00:00,160.18,163.3,159.715,162.51,IEX,416224,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:49,-0.19084663568397656,-0.19084663568397656,162.51,160.18,163.3,159.715,416224,161.1881,158.877,161.9716,158.4158,416224,"Jun 10, 20",9.060000000000002,0.06
184,2020-06-11 00:00:00,151.12,156.27,151.03,156.15,IEX,656448,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:55,-0.23661345726409377,-0.23661345726409377,156.15,151.12,156.27,151.03,656448,154.8798,149.8907,154.9988,149.8014,656448,"Jun 11, 20",-1.4699999999999989,-0.0096
183,2020-06-12 00:00:00,152.59,155.51,149.23,155.51,IEX,592831,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:49,-0.22918771468983634,-0.22918771468983634,155.51,152.59,155.51,149.23,592831,154.245,151.3488,154.245,148.0161,592831,"Jun 12, 20",-0.12999999999999545,-0.0009
182,2020-06-15 00:00:00,152.72,154.02,148.45,149.26,IEX,456068,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:58,-0.22853101636694284,-0.22853101636694284,149.26,152.72,154.02,148.45,456068,148.0458,151.4777,152.7671,147.2424,456068,"Jun 15, 20",-2.2700000000000102,-0.0146
181,2020-06-16 00:00:00,154.99,158.56,152.91,157.27,IEX,353638,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:58,-0.21706405334410991,-0.21706405334410991,157.27,154.99,158.56,152.91,353638,155.9907,153.7292,157.2702,151.6662,353638,"Jun 16, 20",0.3100000000000023,0.002
180,2020-06-17 00:00:00,154.68,156.49,154.15,155.77,IEX,322018,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:56,-0.2186300262679329,-0.2186300262679329,155.77,154.68,156.49,154.15,322018,154.5029,153.4218,155.217,152.8961,322018,"Jun 17, 20",1.5699999999999932,0.0103
179,2020-06-18 00:00:00,153.11,155.12,152.32,153.89,IEX,308125,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:55,-0.22656092139826223,-0.22656092139826223,153.89,153.11,155.12,152.32,308125,152.6382,151.8645,153.8582,151.081,308125,"Jun 18, 20",-0.12999999999999545,-0.0008
178,2020-06-19 00:00:00,153.24,156.23,151.79,156.23,IEX,545518,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:56,-0.22590422307536875,-0.22590422307536875,156.23,153.24,156.23,151.79,545518,154.9591,151.9935,154.9591,150.5553,545518,"Jun 19, 20",-0.19999999999998863,-0.0013
177,2020-06-22 00:00:00,153.44,154.58,150.63,151.76,IEX,392884,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:35,-0.22489391796322494,-0.22489391796322494,151.76,153.44,154.58,150.63,392884,150.5255,152.1918,153.3226,149.4047,392884,"Jun 22, 20",-0.8600000000000136,-0.0056
176,2020-06-23 00:00:00,154.3,155.95,154.19,155.01,IEX,447508,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:44,-0.22054960598100623,-0.22054960598100623,155.01,154.3,155.95,154.19,447508,153.7491,153.0448,154.6814,152.9357,447508,"Jun 23, 20",5.5400000000000205,0.0372
